NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,498980,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,2464704,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,140503,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,2175840,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,470647,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,330232,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,320416,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,230151,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,606072,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,837459,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,1484555,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,3466810,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,642283,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,345779,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,807497,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,1129770,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,16655670,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,418683,1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2018,2018
6,Município,40,Mil Reais,102476,1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2018,2018
