NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,167127,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,749021,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,49130,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,758960,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,129107,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,126534,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,70936,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,62986,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,203257,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,327643,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,569682,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,1066022,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,186678,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,109279,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,289682,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,308139,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,3801042,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,146979,1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,24700,1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,388188,1100288,Rolim de Moura - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,62508,1100296,Santa Luzia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,802054,1100304,Vilhena - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,137040,1100320,São Miguel do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,113906,1100338,Nova Mamoré - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,105142,1100346,Alvorada D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,76379,1100379,Alto Alegre dos Parecis - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,81283,1100403,Alto Paraíso - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,193934,1100452,Buritis - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,74462,1100502,Novo Horizonte do Oeste - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,43479,1100601,Cacaulândia - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,61276,1100700,Campo Novo de Rondônia - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,102722,1100809,Candeias do Jamari - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,28341,1100908,Castanheiras - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,72246,1100924,Chupinguaia - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,58407,1100940,Cujubim - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,79524,1101005,Governador Jorge Teixeira - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,53835,1101104,Itapuã do Oeste - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,56162,1101203,Ministro Andreazza - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,72023,1101302,Mirante da Serra - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,83709,1101401,Monte Negro - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,44191,1101435,Nova União - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,24678,1101450,Parecis - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,23939,1101468,Pimenteiras do Oeste - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,21113,1101476,Primavera de Rondônia - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,37594,1101484,São Felipe D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,95814,1101492,São Francisco do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,72914,1101500,Seringueiras - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,31487,1101559,Teixeirópolis - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,67655,1101609,Theobroma - RO,37,Produto Interno Bruto a preços correntes,2005,2005
6,Município,40,Mil Reais,82257,1101708,Urupá - RO,37,Produto Interno Bruto a preços correntes,2005,2005
