NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,329029,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,1703642,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,99586,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,1372705,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,357333,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,222071,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,175872,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,134091,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,376177,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,516172,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,1004964,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,2318729,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,353071,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,215982,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,527990,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,687732,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,11970877,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,278269,1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,56106,1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,845500,1100288,Rolim de Moura - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,122449,1100296,Santa Luzia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,1797976,1100304,Vilhena - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,333933,1100320,São Miguel do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,277775,1100338,Nova Mamoré - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,184427,1100346,Alvorada D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,207365,1100379,Alto Alegre dos Parecis - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,205906,1100403,Alto Paraíso - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,403805,1100452,Buritis - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,104873,1100502,Novo Horizonte do Oeste - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,90742,1100601,Cacaulândia - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,156228,1100700,Campo Novo de Rondônia - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,267393,1100809,Candeias do Jamari - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,46868,1100908,Castanheiras - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,238955,1100924,Chupinguaia - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,221003,1100940,Cujubim - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,118735,1101005,Governador Jorge Teixeira - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,128141,1101104,Itapuã do Oeste - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,124807,1101203,Ministro Andreazza - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,130632,1101302,Mirante da Serra - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,181390,1101401,Monte Negro - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,85014,1101435,Nova União - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,61508,1101450,Parecis - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,80775,1101468,Pimenteiras do Oeste - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,43790,1101476,Primavera de Rondônia - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,67923,1101484,São Felipe D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2012,2012
6,Município,40,Mil Reais,223069,1101492,São Francisco do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2012,2012
