NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,248962,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,1064822,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,60588,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,928699,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,167474,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,157026,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,95990,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,90971,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,265616,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,491320,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,708837,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,1496176,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,234494,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,167221,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,400931,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,419978,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,5267602,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,196550,1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,37220,1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,590513,1100288,Rolim de Moura - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,85683,1100296,Santa Luzia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,1148345,1100304,Vilhena - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,192747,1100320,São Miguel do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,164807,1100338,Nova Mamoré - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,127593,1100346,Alvorada D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,109773,1100379,Alto Alegre dos Parecis - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,132015,1100403,Alto Paraíso - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,270880,1100452,Buritis - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,84764,1100502,Novo Horizonte do Oeste - RO,37,Produto Interno Bruto a preços correntes,2008,2008
6,Município,40,Mil Reais,62609,1100601,Cacaulândia - RO,37,Produto Interno Bruto a preços correntes,2008,2008
