NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,478217,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,2184346,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,133342,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,1947283,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,408194,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,306518,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,236624,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,206101,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,543318,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,740352,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,1313922,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,2985775,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,512904,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,307760,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,711121,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,1000682,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,14751261,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,388308,1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,90904,1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2016,2016
6,Município,40,Mil Reais,1197691,1100288,Rolim de Moura - RO,37,Produto Interno Bruto a preços correntes,2016,2016
