UF,ano,populacao,area_desmatada_km,IDH,pib_mil_reais,pib_bilhoes,pib_per_capita,desmate_per_capita
MT,2016,3305531,1397.86067646631,0.769,123880298.0,123.88,37476.67107039686,0.0004228853628861172
MT,2017,3344544,1454.142274269368,0.77,126845895.0,126.85,37926.21505353196,0.0004347804287428624
MT,2018,3441998,1440.99233947142,0.778,137442863.0,137.44,39931.12808316565,0.00041864996419853237
MT,2019,3484466,1882.0407399334265,0.779,142122023.0,142.12,40787.318056769676,0.0005401231465405105
MT,2020,3526220,13646.99105881902,0.756,178649564.0,178.65,50663.19288076184,0.0038701473699369352
MT,2021,3567234,1589.685567422406,0.736,233390203.0,233.39,65426.09848414766,0.0004456353486825944
PA,2012,7792561,1698.3607938498085,0.666,107080878.0,107.08,13741.423134191698,0.00021794642272929382
PA,2013,7969654,2100.045560934069,0.671,121224851.0,121.22,15210.804760156463,0.0002635052363545605
PA,2014,8073924,1796.144753062055,0.684,124584945.0,124.58,15430.532291361673,0.00022246243004789927
PA,2015,8175113,2303.760098418564,0.689,130899505.0,130.9,16011.950538176046,0.00028180162138658686
PA,2016,8272724,2763.875197882277,0.687,138107518.0,138.11,16694.321966984513,0.00033409493630904126
PA,2017,8366628,2572.8084648391127,0.694,155232405.0,155.23,18553.759650841414,0.0003075084089837761
PA,2018,8513497,2608.756010973136,0.707,161349601.0,161.35,18952.212116830488,0.0003064259035943909
PA,2019,8602865,4465.604572436746,0.704,178376983.0,178.38,20734.602135451387,0.0005190834184236003
PA,2020,8690745,18328.02264154576,0.719,215935606.0,215.94,24846.616256719073,0.0021089127159461887
PA,2021,8777124,2743.4911601722024,0.69,262904981.0,262.9,29953.43132898658,0.00031257290658901507
RO,2012,1590011,690.6184875137558,0.694,30112721.0,30.11,18938.687216629318,0.0004343482450836854
RO,2013,1728214,963.6813991437756,0.687,31121412.0,31.12,18007.846250522216,0.0005576169381475764
RO,2014,1748531,761.2707959074123,0.692,34030982.0,34.03,19462.612901915953,0.0004353773515639198
RO,2015,1768204,960.6544482020856,0.706,36563334.0,36.56,20678.232828338812,0.0005432939005918353
RO,2016,1787279,1194.0478165529348,0.715,39460358.0,39.46,22078.45445506829,0.0006680813776432973
RO,2017,1805788,1277.8962145615951,0.721,43516144.0,43.52,24098.146626292786,0.0007076667995144475
RO,2018,1757589,1211.7433024576676,0.73,44913978.0,44.91,25554.31218561336,0.0006894349603107823
RO,2019,1777225,1401.1548074932468,0.73,47091334.0,47.09,26497.114321484336,0.0007883947206984185
RO,2020,1796460,5482.898133133517,0.739,51598745.0,51.6,28722.456943099205,0.0030520568969715535
RO,2021,1815278,871.5607382094962,0.7,58170100.0,58.17,32044.733644103,0.00048012521399449354
RR,2012,469524,107.4720019696252,0.738,7711468.0,7.71,16424.012404051762,0.0002288956517017771
RR,2013,488072,148.41412189535134,0.738,9010725.0,9.01,18461.876526414137,0.00030408243434442323
RR,2014,496936,189.05890046536248,0.744,9744122.0,9.74,19608.40430155996,0.0003804491935890386
RR,2015,505665,154.29364635726034,0.748,10242903.0,10.24,20256.30209723829,0.00030513016791207685
RR,2016,514229,228.52873589155,0.752,11013236.0,11.01,21416.987373329783,0.000444410439495925
RR,2017,522636,121.8815765698708,0.746,12104706.0,12.1,23160.87295938282,0.00023320547488093205
RR,2018,576568,126.64818891706932,0.76,13369988.0,13.37,23188.917872653357,0.00021965872007650324
RR,2019,605761,543.4634395070918,0.749,14292227.0,14.29,23593.838163896322,0.0008971581853356222
RR,2020,631181,2024.3909565593056,0.739,16024274.0,16.02,25387.76357336485,0.003207306551621968
RR,2021,652713,120.84481644598004,0.699,18202580.0,18.2,27887.570800642854,0.00018514234655350826
TO,2012,1417694,47.63924512408774,0.71,20684430.0,20.68,14590.193652508933,3.360333409331474e-05
TO,2013,1478164,77.11606716696471,0.719,23796659.0,23.8,16098.794856321761,5.2170169999380794e-05
TO,2014,1496880,45.06402780051187,0.737,26189323.0,26.19,17495.94022232911,3.0105304233146194e-05
TO,2015,1515126,55.3011199829867,0.73,28930288.0,28.93,19094.31162820782,3.649935383788985e-05
TO,2016,1532902,53.46180120533159,0.734,31584812.0,31.58,20604.586594576824,3.487620291795013e-05
TO,2017,1550194,28.15613080953856,0.74,34108132.0,34.11,22002.49259124987,1.8162972382513776e-05
TO,2018,1555229,22.7846676493304,0.749,35666181.0,35.67,22933.07352164858,1.4650361875537559e-05
TO,2019,1572866,28.14026094497892,0.751,39355940.0,39.36,25021.800967151685,1.7891073330454673e-05
TO,2020,1590248,4838.011709064085,0.755,43649801.0,43.65,27448.423767865137,0.0030423001375031347
TO,2021,1607363,1257.2220922461925,0.731,51780763.0,51.78,32214.728720270406,0.0007821643849249936
