NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,191364,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,905203,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,49166,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,814890,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,143270,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,137899,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,72291,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,74215,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,220452,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,374116,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,693762,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,1257350,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,183666,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,139569,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,319107,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,336934,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,4474812,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,159520,1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,28672,1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,466023,1100288,Rolim de Moura - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,69961,1100296,Santa Luzia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,916061,1100304,Vilhena - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,158873,1100320,São Miguel do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,134075,1100338,Nova Mamoré - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,107459,1100346,Alvorada D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,90566,1100379,Alto Alegre dos Parecis - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,107258,1100403,Alto Paraíso - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,225142,1100452,Buritis - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,69106,1100502,Novo Horizonte do Oeste - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,49655,1100601,Cacaulândia - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,67676,1100700,Campo Novo de Rondônia - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,120362,1100809,Candeias do Jamari - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,28981,1100908,Castanheiras - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,92199,1100924,Chupinguaia - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,82708,1100940,Cujubim - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,82944,1101005,Governador Jorge Teixeira - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,64746,1101104,Itapuã do Oeste - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,67101,1101203,Ministro Andreazza - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,81541,1101302,Mirante da Serra - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,96250,1101401,Monte Negro - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,49455,1101435,Nova União - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,31809,1101450,Parecis - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,29134,1101468,Pimenteiras do Oeste - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,25562,1101476,Primavera de Rondônia - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,44705,1101484,São Felipe D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,107923,1101492,São Francisco do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,76674,1101500,Seringueiras - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,34054,1101559,Teixeirópolis - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,72277,1101609,Theobroma - RO,37,Produto Interno Bruto a preços correntes,2007,2007
6,Município,40,Mil Reais,83114,1101708,Urupá - RO,37,Produto Interno Bruto a preços correntes,2007,2007
