NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,570242,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,2817331,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,167153,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,2518845,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,600630,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,366922,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,268353,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,261944,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,666321,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,984614,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,1665151,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,4057176,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,700188,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,403373,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,885132,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,1361160,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,19446740,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,464090,1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,133557,1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,1403499,1100288,Rolim de Moura - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,156765,1100296,Santa Luzia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,3152560,1100304,Vilhena - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,730643,1100320,São Miguel do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,601843,1100338,Nova Mamoré - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,289497,1100346,Alvorada D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,324519,1100379,Alto Alegre dos Parecis - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,396387,1100403,Alto Paraíso - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,781528,1100452,Buritis - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,185088,1100502,Novo Horizonte do Oeste - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,169146,1100601,Cacaulândia - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,331894,1100700,Campo Novo de Rondônia - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,562989,1100809,Candeias do Jamari - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,80395,1100908,Castanheiras - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,374750,1100924,Chupinguaia - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,431816,1100940,Cujubim - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,200565,1101005,Governador Jorge Teixeira - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,192750,1101104,Itapuã do Oeste - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,224912,1101203,Ministro Andreazza - RO,37,Produto Interno Bruto a preços correntes,2020,2020
6,Município,40,Mil Reais,231662,1101302,Mirante da Serra - RO,37,Produto Interno Bruto a preços correntes,2020,2020
