NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,121915,1200013,Acrelândia - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,42017,1200054,Assis Brasil - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,190699,1200104,Brasiléia - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,86265,1200138,Bujari - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,108531,1200179,Capixaba - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,771040,1200203,Cruzeiro do Sul - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,144997,1200252,Epitaciolândia - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,200521,1200302,Feijó - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,41234,1200328,Jordão - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,95419,1200336,Mâncio Lima - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,55803,1200344,Manoel Urbano - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,96005,1200351,Marechal Thaumaturgo - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,132633,1200385,Plácido de Castro - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,60318,1200393,Porto Walter - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,5125851,1200401,Rio Branco - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,124221,1200427,Rodrigues Alves - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,35855,1200435,Santa Rosa do Purus - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,184620,1200450,Senador Guiomard - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,264528,1200500,Sena Madureira - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,227963,1200609,Tarauacá - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,117260,1200708,Xapuri - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,114661,1200807,Porto Acre - AC,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,58365,1300029,Alvarães - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,36941,1300060,Amaturá - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,51913,1300086,Anamã - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,64424,1300102,Anori - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,104518,1300144,Apuí - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,68896,1300201,Atalaia do Norte - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,154785,1300300,Autazes - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,93663,1300409,Barcelos - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,117983,1300508,Barreirinha - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,137141,1300607,Benjamin Constant - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,74008,1300631,Beruri - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,55076,1300680,Boa Vista do Ramos - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,151889,1300706,Boca do Acre - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,156532,1300805,Borba - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,66861,1300839,Caapiranga - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,49394,1300904,Canutama - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,129697,1301001,Carauari - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,143727,1301100,Careiro - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,188023,1301159,Careiro da Várzea - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,1998793,1301209,Coari - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,120603,1301308,Codajás - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,151777,1301407,Eirunepé - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,71690,1301506,Envira - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,95662,1301605,Fonte Boa - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,51646,1301654,Guajará - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,217550,1301704,Humaitá - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,69654,1301803,Ipixuna - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,306446,1301852,Iranduba - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,849637,1301902,Itacoatiara - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,42985,1301951,Itamarati - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,82029,1302009,Itapiranga - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,32590,1302108,Japurá - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,48747,1302207,Juruá - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,89745,1302306,Jutaí - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,205325,1302405,Lábrea - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,647440,1302504,Manacapuru - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,124714,1302553,Manaquiri - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,50168821,1302603,Manaus - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,251450,1302702,Manicoré - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,65054,1302801,Maraã - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,271611,1302900,Maués - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,69664,1303007,Nhamundá - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,128637,1303106,Nova Olinda do Norte - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,73846,1303205,Novo Airão - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,78084,1303304,Novo Aripuanã - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,578337,1303403,Parintins - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,76686,1303502,Pauini - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,314535,1303536,Presidente Figueiredo - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,193863,1303569,Rio Preto da Eva - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,65376,1303601,Santa Isabel do Rio Negro - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,83501,1303700,Santo Antônio do Içá - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,162583,1303809,São Gabriel da Cachoeira - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,108879,1303908,São Paulo de Olivença - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,42613,1303957,São Sebastião do Uatumã - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,48370,1304005,Silves - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,237078,1304062,Tabatinga - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,84359,1304104,Tapauá - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,350169,1304203,Tefé - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,58573,1304237,Tonantins - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,78559,1304260,Uarini - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,102020,1304302,Urucará - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,73588,1304401,Urucurituba - AM,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,76901,1400027,Amajari - RR,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,134967,1400050,Alto Alegre - RR,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,5123256,1400100,Boa Vista - RR,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,108568,1400159,Bonfim - RR,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,124720,1400175,Cantá - RR,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,174394,1400209,Caracaraí - RR,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,73318,1400233,Caroebe - RR,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,76327,1400282,Iracema - RR,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,147252,1400308,Mucajaí - RR,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,74442,1400407,Normandia - RR,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,102814,1400456,Pacaraima - RR,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,241465,1400472,Rorainópolis - RR,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,66010,1400506,São João da Baliza - RR,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,59706,1400605,São Luiz - RR,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,55010,1400704,Uiramutã - RR,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,583793,1500107,Abaetetuba - PA,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,53599,1500131,Abel Figueiredo - PA,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,440767,1500206,Acará - PA,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,161293,1500305,Afuá - PA,37,Produto Interno Bruto a preços correntes,2010,2010
6,Município,40,Mil Reais,180873,1500347,Água Azul do Norte - PA,37,Produto Interno Bruto a preços correntes,2010,2010
