NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,377799,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,1921532,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,113477,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,1660650,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,392417,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,273759,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,186868,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,168605,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,462389,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,646154,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,1130660,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,2651246,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,424790,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,257255,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,600734,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,837925,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,12793026,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,334713,1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,74698,1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,1024962,1100288,Rolim de Moura - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,132906,1100296,Santa Luzia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,2124668,1100304,Vilhena - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,411122,1100320,São Miguel do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,341402,1100338,Nova Mamoré - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,205518,1100346,Alvorada D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,211214,1100379,Alto Alegre dos Parecis - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,233006,1100403,Alto Paraíso - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,475961,1100452,Buritis - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,127668,1100502,Novo Horizonte do Oeste - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,116988,1100601,Cacaulândia - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,203987,1100700,Campo Novo de Rondônia - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,317451,1100809,Candeias do Jamari - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,59750,1100908,Castanheiras - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,228353,1100924,Chupinguaia - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,265664,1100940,Cujubim - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,145566,1101005,Governador Jorge Teixeira - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,133036,1101104,Itapuã do Oeste - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,167762,1101203,Ministro Andreazza - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,162908,1101302,Mirante da Serra - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,218407,1101401,Monte Negro - RO,37,Produto Interno Bruto a preços correntes,2014,2014
6,Município,40,Mil Reais,93875,1101435,Nova União - RO,37,Produto Interno Bruto a preços correntes,2014,2014
