NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,421300,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,2037799,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,116565,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,1794478,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,397736,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,285372,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,190906,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,187170,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,483962,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,682458,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,1207965,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,2755755,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,451940,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,272574,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,633050,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,906443,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,13970352,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,359302,1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,78522,1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,1082400,1100288,Rolim de Moura - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,135949,1100296,Santa Luzia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,2185475,1100304,Vilhena - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,454048,1100320,São Miguel do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,379824,1100338,Nova Mamoré - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,220491,1100346,Alvorada D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,212357,1100379,Alto Alegre dos Parecis - RO,37,Produto Interno Bruto a preços correntes,2015,2015
6,Município,40,Mil Reais,258222,1100403,Alto Paraíso - RO,37,Produto Interno Bruto a preços correntes,2015,2015
