NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,485374,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,2287910,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,138110,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,2082761,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,439245,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,328377,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,332804,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,212879,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,566361,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,775195,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,1354733,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,3062162,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,587758,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,345425,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,762112,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,1050682,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,16974627,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,410136,1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,105272,1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,1304503,1100288,Rolim de Moura - RO,37,Produto Interno Bruto a preços correntes,2017,2017
6,Município,40,Mil Reais,153096,1100296,Santa Luzia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2017,2017
