NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,256986,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,1133095,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,69776,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,985479,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,190902,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,174168,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,119226,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,99854,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,291491,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,521104,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,722047,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,1640344,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,254438,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,164381,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,399690,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,471876,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,6841953,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,216194,1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,40075,1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,570998,1100288,Rolim de Moura - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,89832,1100296,Santa Luzia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,1244988,1100304,Vilhena - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,234784,1100320,São Miguel do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2009,2009
6,Município,40,Mil Reais,183340,1100338,Nova Mamoré - RO,37,Produto Interno Bruto a preços correntes,2009,2009
