NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,734467,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,3211294,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,238414,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,2792506,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,743062,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,424846,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,396740,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,316672,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,773372,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,1054255,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,1764718,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,4230355,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,890319,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,549853,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,986046,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,1642621,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,20056138,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,560210,1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,184428,1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,1565241,1100288,Rolim de Moura - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,213590,1100296,Santa Luzia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,4215442,1100304,Vilhena - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,905341,1100320,São Miguel do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,742686,1100338,Nova Mamoré - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,352630,1100346,Alvorada D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2021,2021
6,Município,40,Mil Reais,483672,1100379,Alto Alegre dos Parecis - RO,37,Produto Interno Bruto a preços correntes,2021,2021
