NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,341325,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2013,2013
6,Município,40,Mil Reais,1799853,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2013,2013
6,Município,40,Mil Reais,96365,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2013,2013
6,Município,40,Mil Reais,1433254,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2013,2013
6,Município,40,Mil Reais,353270,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2013,2013
6,Município,40,Mil Reais,242767,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2013,2013
6,Município,40,Mil Reais,168681,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2013,2013
6,Município,40,Mil Reais,149739,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2013,2013
6,Município,40,Mil Reais,426546,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2013,2013
6,Município,40,Mil Reais,605131,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2013,2013
6,Município,40,Mil Reais,1070429,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2013,2013
6,Município,40,Mil Reais,2374801,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2013,2013
6,Município,40,Mil Reais,396658,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2013,2013
6,Município,40,Mil Reais,230676,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2013,2013
6,Município,40,Mil Reais,556443,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2013,2013
6,Município,40,Mil Reais,755542,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2013,2013
6,Município,40,Mil Reais,11699707,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2013,2013
