NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,168805,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,790697,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,46884,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,743194,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,124415,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,126670,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,68935,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,60812,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,195271,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,325665,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,614008,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,1110409,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,167421,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,108175,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,289192,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,311876,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,4093384,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,151891,1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,27237,1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,407840,1100288,Rolim de Moura - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,65969,1100296,Santa Luzia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,816425,1100304,Vilhena - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,147255,1100320,São Miguel do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,116144,1100338,Nova Mamoré - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,107851,1100346,Alvorada D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,83329,1100379,Alto Alegre dos Parecis - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,88368,1100403,Alto Paraíso - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,201021,1100452,Buritis - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,71335,1100502,Novo Horizonte do Oeste - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,44557,1100601,Cacaulândia - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,70259,1100700,Campo Novo de Rondônia - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,110797,1100809,Candeias do Jamari - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,27916,1100908,Castanheiras - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,77157,1100924,Chupinguaia - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,58711,1100940,Cujubim - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,86654,1101005,Governador Jorge Teixeira - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,72992,1101104,Itapuã do Oeste - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,55796,1101203,Ministro Andreazza - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,74791,1101302,Mirante da Serra - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,98361,1101401,Monte Negro - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,48789,1101435,Nova União - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,26628,1101450,Parecis - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,26912,1101468,Pimenteiras do Oeste - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,23165,1101476,Primavera de Rondônia - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,40951,1101484,São Felipe D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,100399,1101492,São Francisco do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,75032,1101500,Seringueiras - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,32294,1101559,Teixeirópolis - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,71517,1101609,Theobroma - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,82955,1101708,Urupá - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,55192,1101757,Vale do Anari - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,62414,1101807,Vale do Paraíso - RO,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,70531,1200013,Acrelândia - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,23897,1200054,Assis Brasil - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,98895,1200104,Brasiléia - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,49392,1200138,Bujari - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,55225,1200179,Capixaba - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,400265,1200203,Cruzeiro do Sul - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,88121,1200252,Epitaciolândia - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,126198,1200302,Feijó - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,22421,1200328,Jordão - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,47814,1200336,Mâncio Lima - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,29299,1200344,Manoel Urbano - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,39493,1200351,Marechal Thaumaturgo - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,76160,1200385,Plácido de Castro - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,22804,1200393,Porto Walter - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,2936363,1200401,Rio Branco - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,42592,1200427,Rodrigues Alves - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,17222,1200435,Santa Rosa do Purus - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,119478,1200450,Senador Guiomard - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,141962,1200500,Sena Madureira - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,126866,1200609,Tarauacá - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,66514,1200708,Xapuri - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,60294,1200807,Porto Acre - AC,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,41015,1300029,Alvarães - AM,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,20294,1300060,Amaturá - AM,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,23551,1300086,Anamã - AM,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,35862,1300102,Anori - AM,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,81706,1300144,Apuí - AM,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,28991,1300201,Atalaia do Norte - AM,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,96788,1300300,Autazes - AM,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,68272,1300409,Barcelos - AM,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,77540,1300508,Barreirinha - AM,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,77148,1300607,Benjamin Constant - AM,37,Produto Interno Bruto a preços correntes,2006,2006
6,Município,40,Mil Reais,35478,1300631,Beruri - AM,37,Produto Interno Bruto a preços correntes,2006,2006
