NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano
6,Município,40,Mil Reais,111291,1100015,Alta Floresta D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,449593,1100023,Ariquemes - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,31768,1100031,Cabixi - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,474443,1100049,Cacoal - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,79174,1100056,Cerejeiras - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,87254,1100064,Colorado do Oeste - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,45165,1100072,Corumbiara - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,37308,1100080,Costa Marques - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,119312,1100098,Espigão D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,174680,1100106,Guajará-Mirim - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,306158,1100114,Jaru - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,657400,1100122,Ji-Paraná - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,83828,1100130,Machadinho D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,65740,1100148,Nova Brasilândia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,191704,1100155,Ouro Preto do Oeste - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,180337,1100189,Pimenta Bueno - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,2325673,1100205,Porto Velho - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,93482,1100254,Presidente Médici - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,15549,1100262,Rio Crespo - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,231270,1100288,Rolim de Moura - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,46045,1100296,Santa Luzia D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,448260,1100304,Vilhena - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,73737,1100320,São Miguel do Guaporé - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,51341,1100338,Nova Mamoré - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,66869,1100346,Alvorada D'Oeste - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,46139,1100379,Alto Alegre dos Parecis - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,45060,1100403,Alto Paraíso - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,97946,1100452,Buritis - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,46575,1100502,Novo Horizonte do Oeste - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,27707,1100601,Cacaulândia - RO,37,Produto Interno Bruto a preços correntes,2002,2002
6,Município,40,Mil Reais,34793,1100700,Campo Novo de Rondônia - RO,37,Produto Interno Bruto a preços correntes,2002,2002
