UF,ano,populacao,pib_mil_reais,pib_bilhoes,IDH,desmatamento_km2,ano_categorico,ano_normalizado,decada,desmatamento_km2_growth_rate,pib_bilhoes_growth_rate,populacao_growth_rate,IDH_growth_rate,desmatamento_lag1,desmatamento_lag2,pib_lag1,idh_lag1,desmatamento_ma3,desmatamento_std3,pib_ma3,pib_per_capita,desmatamento_per_capita,intensidade_desmatamento,idh_ajustado,categoria_idh,categoria_desmatamento,periodo,desmatamento_km2_mean,desmatamento_km2_std,desmatamento_desvio_estado,desmatamento_zscore_estado,desmatamento_km2_normalized,pib_bilhoes_normalized,populacao_normalized,pib_x_populacao,idh_x_pib,ano_x_pib
AM,2019,4144597,108181093.0,108.18,0.726,1556.8914681750362,2019,0.7777777777777778,2010,48.10002268313882,8.061132753970647,1.5680494906277431,1.1142061281337101,1051.2432341121364,1009.9597752379856,100.11,0.718,1206.031492508386,304.55397368570834,100.50999999999999,26101.452083278542,375.6436314978359,14.391675616334222,0.28393852810584,Alto,Muito Alto,Segunda_Metade,1483.2243066083192,1818.9680966139126,73.66716156671691,0.04049942475838444,0.08478117093437082,0.39370664994709836,0.4423748134238529,448362503.46000004,78.53868,218415.42
AM,2020,4207714,116019141.0,116.02,0.727,6543.274063225545,2020,0.8888888888888888,2020,320.27811167180903,7.247180624884431,1.5228742384362004,0.13774104683195176,1556.8914681750362,1051.2432341121364,108.18,0.726,3050.4695885042397,3035.404809597497,108.10333333333334,27573.16680743986,1555.0662576462055,56.397811267243114,0.09637724864647579,Alto,Muito Alto,Segunda_Metade,1483.2243066083192,1818.9680966139126,5060.049756617226,2.781824357467691,0.35689348063721993,0.42442885693013055,0.4499723145071982,488178978.28,84.34653999999999,234360.4
AM,2021,4269995,131531039.0,131.53,0.7,1474.7024508638156,2021,1.0,2020,-77.46231570595636,13.368384761248064,1.4801623874626468,-3.7138927097661645,6543.274063225545,1556.8914681750362,116.02,0.727,3191.622660754799,2902.9061475364197,118.57666666666667,30803.31475797981,345.36397603833626,11.211909456882958,0.2828622890625332,Alto,Muito Alto,Segunda_Metade,1483.2243066083192,1818.9680966139126,-8.521855744503682,-0.004684994618854219,0.0802960270637495,0.48520710059171607,0.45746918484279453,561632442.35,92.071,265822.13
AP,2012,698602,11130869.0,11.13,0.707,19.527490927119,2012,0.0,2010,26.917374470897016,0.0,0.0,0.0,19.527490927119,19.527490927119,11.13,0.707,19.527490927119,3.7167567879937775,11.13,15931.818116753173,27.952240227080658,1.7544915478094338,0.693458495520392,Alto,Baixo,Primeira_Metade,95.08542402159864,234.42637566147945,-75.55793309447964,-0.3223098633047509,0.0008855502657663661,0.013401779066577848,0.027574510087149118,7775440.260000001,7.8689100000000005,22393.56
AP,2013,734996,12763485.0,12.76,0.734,24.78377878474206,2013,0.1111111111111111,2010,26.917374470897016,14.645103324348607,5.209547066856368,3.8189533239038287,19.527490927119,19.527490927119,11.13,0.707,22.15563485593053,3.7167567879937775,11.945,17360.638697353454,33.71961042610036,1.9423024125973403,0.7162486518574941,Alto,Baixo,Primeira_Metade,95.08542402159864,234.42637566147945,-70.30164523685659,-0.2998879500588911,0.0011723915985635265,0.01978917669187664,0.0319553180220521,9378548.959999999,9.36584,25685.88
AP,2014,750912,13400286.0,13.4,0.725,29.105426206371742,2014,0.2222222222222222,2010,17.437403146489782,5.0156739811912265,2.165453961654218,-1.2261580381471404,24.78377878474206,19.527490927119,12.76,0.734,24.472231972744268,4.796562009964854,12.43,17844.9671865678,38.76010265699808,2.172046731818787,0.7044953622221132,Alto,Baixo,Primeira_Metade,95.08542402159864,234.42637566147945,-65.9799978152269,-0.2814529620613361,0.0014082285884463902,0.022297111955797644,0.03387115412393471,10062220.8,9.715,26987.600000000002
AP,2015,766679,13861293.0,13.86,0.728,19.109309712492283,2015,0.3333333333333333,2010,-34.34451164879735,3.432835820895508,2.0997134151538477,0.4137931034482678,29.105426206371742,24.78377878474206,13.4,0.725,24.33283823453536,5.013292009714554,13.339999999999998,18077.97005004702,24.924785617569132,1.378738074494393,0.714349278396231,Alto,Baixo,Primeira_Metade,95.08542402159864,234.42637566147945,-75.97611430910635,-0.324093712129128,0.0008627296630514101,0.02409969042674086,0.03576905484135009,10626170.94,10.090079999999999,27927.899999999998
AP,2016,782295,14342136.0,14.34,0.733,12.413974140362104,2016,0.4444444444444444,2010,-35.037035208829415,3.463203463203457,2.0368367987123603,0.6868131868131844,19.109309712492283,29.105426206371742,13.86,0.728,20.209570019742046,8.399944795994577,13.866666666666667,18330.680881253236,15.868660978738333,0.8656885732470087,0.7240121321146207,Alto,Baixo,Primeira_Metade,95.08542402159864,234.42637566147945,-82.67144988123654,-0.3526542166936763,0.0004973579347415139,0.025980641874681614,0.037648779430882566,11218110.3,10.51122,28909.44
AP,2017,797722,15481909.0,15.48,0.732,17.2683020287453,2017,0.5555555555555556,2010,39.103737719253864,7.949790794979084,1.9720182284176602,-0.13642564802183177,12.413974140362104,19.109309712492283,14.34,0.733,16.26386196053323,3.4588371591953173,14.56,19405.256467792038,21.647017418029467,1.1155233868698513,0.7195741758001967,Alto,Baixo,Segunda_Metade,95.08542402159864,234.42637566147945,-77.81712199285334,-0.3319469567930539,0.000762263875788648,0.030447901563540897,0.039505753767634454,12348736.56,11.33136,31223.16
AP,2018,829494,16795207.0,16.8,0.741,24.56686850837879,2018,0.6666666666666666,2010,42.265686964960956,8.52713178294573,3.9828411401465758,1.2295081967213184,17.2683020287453,12.413974140362104,15.48,0.732,18.08304822582873,6.117276265159957,15.540000000000001,20253.311054691174,29.616692234517416,1.4623136016892135,0.7232324436557165,Alto,Baixo,Segunda_Metade,95.08542402159864,234.42637566147945,-70.51855551321985,-0.3008132310804963,0.0011605545693796687,0.035620518045377955,0.04333020366892965,13935499.200000001,12.4488,33902.4
AP,2019,845731,17496662.0,17.5,0.737,39.06157492050759,2019,0.7777777777777778,2010,59.001033880998,4.166666666666652,1.9574584023513086,-0.5398110661268607,24.56686850837879,17.2683020287453,16.8,0.741,26.96558181921056,11.092883078549796,16.593333333333334,20692.1586178111,46.18676023523743,2.2320899954575766,0.7092938645685011,Alto,Baixo,Segunda_Metade,95.08542402159864,234.42637566147945,-56.02384910109105,-0.23898270381482845,0.001951546428725574,0.03836357224029155,0.04528467908902691,14800292.5,12.897499999999999,35332.5
AP,2020,861773,18469113.0,18.47,0.724,761.7174870407162,2020,0.8888888888888888,2020,1850.042947809586,5.542857142857138,1.896820620268147,-1.7639077340569909,39.06157492050759,24.56686850837879,17.5,0.737,275.1153101565342,421.47216164274954,17.59,21432.558225890112,883.8957440540794,41.24079518357966,0.4109626006018451,Alto,Alto,Segunda_Metade,95.08542402159864,234.42637566147945,666.6320630191175,2.8436734609665226,0.04138766381824113,0.04216466162467181,0.047215682026096585,15916947.309999999,13.372279999999998,37309.399999999994
AP,2021,877613,20099851.0,20.1,0.688,3.300027946551286,2021,1.0,2020,-99.56676484356794,8.825121819166238,1.8380710465516925,-4.972375690607745,761.7174870407162,39.06157492050759,18.47,0.724,268.0263633025917,427.92279245659694,18.69,22903.033569466268,3.760231385076663,0.1641804948532978,0.6857370485757144,Baixo,Baixo,Segunda_Metade,95.08542402159864,234.42637566147945,-91.78539607504736,-0.3915318650303622,0.0,0.048552059249970615,0.04912236987818383,17640021.3,13.8288,40622.100000000006
